timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-10 06:00:00+00:00,27246.0,6,5,1,0.470049404856093
2015-01-10 07:00:00+00:00,31170.0,7,5,1,0.5390403853930411
2015-01-10 08:00:00+00:00,34886.0,8,5,1,0.6043743516711501
2015-01-10 09:00:00+00:00,38210.0,9,5,1,0.6628162526152926
2015-01-10 10:00:00+00:00,40354.0,10,5,1,0.7005116303602511
2015-01-10 11:00:00+00:00,41476.0,11,5,1,0.7202384091987974
2015-01-10 12:00:00+00:00,41872.0,12,5,1,0.7272008017300491
2015-01-10 13:00:00+00:00,41357.0,13,5,1,0.7181461750795577
2015-01-10 14:00:00+00:00,40698.0,14,5,1,0.7065597693267929
2015-01-10 15:00:00+00:00,40392.0,15,5,1,0.701179738734462
2015-01-10 16:00:00+00:00,42074.0,16,5,1,0.7307523251929603
2015-01-10 17:00:00+00:00,46540.0,17,5,1,0.8092726409620761
2015-01-10 18:00:00+00:00,47508.0,18,5,1,0.8262918227051357
2015-01-10 19:00:00+00:00,45719.0,19,5,1,0.7948379837192538
2015-01-10 20:00:00+00:00,42551.0,20,5,1,0.7391388434692406
2015-01-10 21:00:00+00:00,40125.0,21,5,1,0.6964853983156636
2015-01-10 22:00:00+00:00,37418.0,22,5,1,0.6488914675527894
2015-01-10 23:00:00+00:00,34996.0,23,5,1,0.6063083495964977
2015-01-11 00:00:00+00:00,32823.0,0,6,1,0.5681030996712203
2015-01-11 01:00:00+00:00,32474.0,1,6,1,0.5619670517080718
2015-01-11 02:00:00+00:00,30176.0,2,6,1,0.5215640768676266
2015-01-11 03:00:00+00:00,28533.0,3,6,1,0.49267718058266086
2015-01-11 04:00:00+00:00,26665.0,4,6,1,0.45983437945039296
2015-01-11 05:00:00+00:00,26001.0,5,6,1,0.4481600647010215
2015-01-11 06:00:00+00:00,26581.0,6,6,1,0.4583575083074002
2015-01-11 07:00:00+00:00,28847.0,7,6,1,0.4981978655695624
2015-01-11 08:00:00+00:00,31507.0,8,6,1,0.5449654517643335
2015-01-11 09:00:00+00:00,35114.0,9,6,1,0.6083830019164161
2015-01-11 10:00:00+00:00,38484.0,10,6,1,0.6676336656293405
2015-01-11 11:00:00+00:00,40388.0,11,6,1,0.7011094115371768
2015-01-11 12:00:00+00:00,41566.0,12,6,1,0.7218207711377183
2015-01-11 13:00:00+00:00,42364.0,13,6,1,0.7358510469961496
2015-01-11 14:00:00+00:00,42418.0,14,6,1,0.7368004641595021
2015-01-11 15:00:00+00:00,42606.0,15,6,1,0.7401058424319145
2015-01-11 16:00:00+00:00,44771.0,16,6,1,0.7781704379626211
2015-01-11 17:00:00+00:00,48248.0,17,6,1,0.8393023542029291
2015-01-11 18:00:00+00:00,48019.0,18,6,1,0.8352761221583417
2015-01-11 19:00:00+00:00,45997.0,19,6,1,0.799725723930587
2015-01-11 20:00:00+00:00,43605.0,20,6,1,0.7576700599539357
2015-01-11 21:00:00+00:00,40590.0,21,6,1,0.7046609350000879
2015-01-11 22:00:00+00:00,37104.0,22,6,1,0.6433707825658878
2015-01-11 23:00:00+00:00,33010.0,23,6,1,0.5713908961443114
2015-01-12 00:00:00+00:00,30053.0,0,0,0,0.5194015155511015
2015-01-12 01:00:00+00:00,29795.0,1,0,0,0.5148654113261951
2015-01-12 02:00:00+00:00,28872.0,2,0,0,0.49863741055259597
2015-01-12 03:00:00+00:00,28168.0,3,0,0,0.4862598238303708
2015-01-12 04:00:00+00:00,27059.0,4,0,0,0.4667616083830019
2015-01-12 05:00:00+00:00,27382.0,5,0,0,0.47244052956379556
2015-01-12 06:00:00+00:00,32280.0,6,0,0,0.5585561826397314
2015-01-12 07:00:00+00:00,40142.0,7,0,0,0.6967842889041265
2015-01-12 08:00:00+00:00,45216.0,8,0,0,0.7859943386606185
2015-01-12 09:00:00+00:00,45932.0,9,0,0,0.7985829069746998
2015-01-12 10:00:00+00:00,47042.0,10,0,0,0.81809870422139
2015-01-12 11:00:00+00:00,47506.0,11,0,0,0.8262566591064929
2015-01-12 12:00:00+00:00,47824.0,12,0,0,0.8318476712906799
2015-01-12 13:00:00+00:00,47744.0,13,0,0,0.8304411273449724
2015-01-12 14:00:00+00:00,47458.0,14,0,0,0.8254127327390686
2015-01-12 15:00:00+00:00,47118.0,15,0,0,0.8194349209698121
2015-01-12 16:00:00+00:00,49164.0,16,0,0,0.8554072823812789
2015-01-12 17:00:00+00:00,52757.0,17,0,0,0.9185786873428626
2015-01-12 18:00:00+00:00,52422.0,18,0,0,0.912688784570213
2015-01-12 19:00:00+00:00,50802.0,19,0,0,0.884206269669638
2015-01-12 20:00:00+00:00,47886.0,20,0,0,0.8329377428486031
2015-01-12 21:00:00+00:00,44270.0,21,0,0,0.7693619565026285
2015-01-12 22:00:00+00:00,39685.0,22,0,0,0.6887494066142729
2015-01-12 23:00:00+00:00,35208.0,23,0,0,0.6100356910526223
2015-01-13 00:00:00+00:00,32521.0,0,1,0,0.5627933962761749
2015-01-13 01:00:00+00:00,33274.0,1,1,0,0.5760324911651459
2015-01-13 02:00:00+00:00,32206.0,2,1,0,0.557255129489952
2015-01-13 03:00:00+00:00,31568.0,3,1,0,0.5460379415229355
2015-01-13 04:00:00+00:00,30532.0,4,1,0,0.5278231974260246
2015-01-13 05:00:00+00:00,30458.0,5,1,0,0.5265221442762452
2015-01-13 06:00:00+00:00,34114.0,6,1,0,0.5908012025950736
